lati,long,Gyro,Gear,Rate,Pressure,Heartbeat,Temp,map_inf
23.5638,120.47793999999999,-4.887070063694268,1.0,0.120647,0.16538216560509553,63.0,34.854126984126985,1
23.5638,120.47793999999999,-3.6726984126984132,1.0,0.12199700000000001,0.9417834394904459,63.0,34.941693290734825,1
23.5638,120.47793999999999,-3.798089171974522,1.0,0.123347,2.670666666666666,29.783439490445858,34.95,1
23.5638,120.47793999999999,-4.2025316455696204,1.0,0.124697,4.640190476190476,79.2278481012658,34.95,1
23.5638,120.47793999999999,-4.007006369426752,1.0,0.126047,4.4019108280254775,66.22292993630572,34.95,1
23.5638,120.47793999999999,-4.1132484076433125,1.0,0.127397,5.257238095238095,63.0,34.95,1
23.5638,120.47793999999999,-4.146075949367089,1.0,0.105822,5.931428571428572,53.12658227848101,34.95,1
23.5638,120.47793999999999,-4.755668789808917,1.0,0.110922,6.5525714285714285,74.96815286624205,34.95,1
23.5638,120.47793999999999,-4.991847133757962,1.0,0.11602200000000006,6.523439490445861,85.0,34.95,1
23.5638,120.47793999999999,-4.644444444444446,1.0,0.14336300000000002,7.9718471337579615,51.46496815286624,34.95,1
23.5638,120.47793999999999,-4.442675159235669,1.0,0.145013,6.330700636942674,49.44585987261146,34.99984126984127,1
23.5638,120.47793999999999,-4.271202531645568,1.0,0.14666300000000002,5.200981012658228,56.129746835443036,35.05,1
23.5638,120.47793999999999,-4.0022712933753954,1.0,0.148313,3.9027760252365926,66.83121019108279,35.05,1
23.5638,120.47793999999999,-3.8310828025477695,1.0,0.149963,4.981401273885352,85.0,35.05,1
23.5638,120.47793999999999,-3.7537341772151898,1.0,0.151613,6.452253968253968,64.49367088607596,35.05,1
23.5638,120.47793999999999,-3.856305732484076,1.0,0.153263,6.504394904458598,41.59872611464968,35.024683544303805,1
23.5638,120.47792166,-3.89656050955414,1.0,0.163166,5.616751592356689,63.0,34.97044728434505,1
23.5638,120.47792466000004,-3.983619047619048,1.0,0.163466,5.868025477707006,55.35668789808916,35.05,1
23.5638,120.47792766,-4.011451104100947,1.0,0.163766,5.5846226415094335,37.21656050955414,35.05,1
23.5638,120.47795,-4.027891373801917,1.0,0.14665999999999998,5.405377358490566,63.0,35.05,1
23.5638,120.47795,-3.9224600638977636,1.0,0.14966,5.446634615384616,59.84076433121018,35.05,1
23.5638,120.47795,-3.38812101910828,1.0,0.15266,6.303714285714286,32.02866242038217,35.05,1
23.5638,120.47795,-1.9283439490445853,1.0,0.15566000000000002,7.642261146496813,50.26582278481013,35.05,1
23.5638,120.47795,0.1284810126582281,1.0,0.15866000000000002,8.560095238095236,76.84810126582278,35.05,1
23.5638,120.47795,-0.4774522292993632,1.0,0.16166,9.047292993630574,56.06369426751593,35.133492063492056,1
23.5638,120.47795,-1.0921069182389935,1.0,0.16466,8.80449101796407,77.4,35.07201257861635,1
23.5638,120.47795,-3.0620578778135044,1.0,0.217178,6.20305466237942,66.21019108280254,35.05,1
23.5638,120.47795,-4.811273885350318,1.0,0.21207800000000002,4.618,63.0,35.11964856230032,1
23.5638,120.47795,-5.735316455696203,1.0,0.20697800000000002,4.283904761904761,39.70886075949368,35.08492063492064,1
23.5638,120.47795,-7.321592356687898,1.0,0.20864699999999997,4.352866242038217,43.94904458598725,35.11031746031746,1
23.5638,120.47795,-9.85095846645367,1.0,0.202497,4.3704792332268365,50.0,35.15,1
23.5638,120.47795,-14.2579375,1.0,0.196347,4.5141065830721,41.759493670886066,35.15,1
23.5638,120.47795,-12.247202572347266,1.0,0.190197,5.906752411575563,36.0,35.15,1
23.5638,120.47795,-4.570063694267517,1.0,0.18404700000000002,6.520761904761906,33.52380952380953,35.15,1
23.5638,120.47795,-3.3059682539682536,1.0,0.17789700000000006,5.685414012738852,45.36942675159236,35.15,1
23.5638,120.47795,-1.0254777070063694,1.0,0.171747,3.930539682539683,63.0,35.15,1
23.56378166,120.47795,-2.1400316455696204,1.0,-0.026055999999999968,3.6193968253968247,63.0,35.15,1
23.56378466,120.47795,-2.295930599369085,1.0,-0.0008559999999999955,8.636415094339622,52.80573248407642,35.1731746031746,1
23.56378766,120.47795,-1.351672025723473,1.0,0.024344000000000005,10.171025641025642,40.57324840764331,35.25,1
23.56380033,120.47794033000002,-3.3791139240506327,1.0,0.10466299999999996,6.367968253968253,65.85126582278481,35.25,1
23.56380183,120.47794183000002,-1.988375796178344,1.0,0.12131299999999998,2.9382222222222225,52.68789808917197,35.25920634920635,1
23.56380333,120.47794333,-3.7494444444444435,2.0,0.137963,4.0144126984126975,61.0,35.35,1
23.56380483,120.47794483,-3.5827777777777774,2.0,0.154613,4.323043010752688,60.05747126436782,35.35,1
23.56380633,120.47794633,-3.416111111111112,2.0,0.171263,4.0682043010752675,48.27586206896552,35.35,1
23.56380783,120.47794783,-3.2494444444444435,2.0,0.18791300000000002,3.8133655913978495,36.494252873563205,35.35,1
23.56380933,120.47794933,-2.8709523809523807,2.0,0.20456300000000002,4.174825396825397,24.71264367816092,35.35,1
23.56378332,120.47794165999996,-3.1714649681528657,2.0,0.05890400000000001,4.9068810289389075,26.305732484076444,35.35,1
23.56378932,120.47794466,-4.29167192429022,2.0,0.102104,8.64,31.0,35.39430379746836,1
