2021-5-12 15:11:16,0.032
2021-5-12 15:11:16,23.56091,120.47686
2021-5-12 15:11:18,0.026
2021-5-12 15:11:18,23.56091,120.47686
2021-5-12 15:11:19,0.013
2021-5-12 15:11:19,23.56091,120.47686
2021-5-12 15:11:21,0.007
2021-5-12 15:11:21,23.56091,120.47686
2021-5-12 15:11:22,0.010
2021-5-12 15:11:22,23.56091,120.47686
2021-5-12 15:11:24,0.018
2021-5-12 15:11:24,23.56091,120.47687
2021-5-12 15:11:25,0.010
2021-5-12 15:11:25,23.56092,120.47687
2021-5-12 15:11:27,0.021
2021-5-12 15:11:27,23.56092,120.47687
2021-5-12 15:11:28,0.033
2021-5-12 15:11:28,23.56092,120.47687
2021-5-12 15:11:30,0.046
2021-5-12 15:11:30,23.56092,120.47687
2021-5-12 15:11:31,0.063
2021-5-12 15:11:31,23.56092,120.47687
2021-5-12 15:11:33,0.072
2021-5-12 15:11:33,23.56092,120.47687
2021-5-12 15:11:34,0.078
2021-5-12 15:11:34,23.56093,120.47687
2021-5-12 15:11:36,0.088
2021-5-12 15:11:36,23.56093,120.47688
2021-5-12 15:11:37,0.100
2021-5-12 15:11:37,23.56093,120.47688
2021-5-12 15:11:39,0.107
2021-5-12 15:11:39,23.56093,120.47688
2021-5-12 15:11:40,0.110
2021-5-12 15:11:40,23.56093,120.47688
2021-5-12 15:11:42,0.111
2021-5-12 15:11:42,23.56093,120.47688
2021-5-12 15:11:43,0.111
2021-5-12 15:11:43,23.56093,120.47688
2021-5-12 15:11:45,0.111
2021-5-12 15:11:45,23.56093,120.47688
2021-5-12 15:11:46,0.108
2021-5-12 15:11:46,23.56093,120.47688
2021-5-12 15:11:48,0.101
2021-5-12 15:11:48,23.56093,120.47688
2021-5-12 15:11:49,0.093
2021-5-12 15:11:49,23.56093,120.47688
2021-5-12 15:11:51,0.087
2021-5-12 15:11:51,23.56093,120.47688
2021-5-12 15:11:52,0.080
2021-5-12 15:11:52,23.56093,120.47688
2021-5-12 15:11:54,0.081
2021-5-12 15:11:54,23.56093,120.47688
2021-5-12 15:11:55,0.080
2021-5-12 15:11:55,23.56093,120.47688
2021-5-12 15:11:57,0.083
2021-5-12 15:11:57,23.56093,120.47688
2021-5-12 15:11:58,0.080
2021-5-12 15:11:58,23.56093,120.47688
2021-5-12 15:12:0,0.083
2021-5-12 15:12:0,23.56093,120.47688
2021-5-12 15:12:1,0.088
2021-5-12 15:12:1,23.56093,120.47688
2021-5-12 15:12:3,0.073
2021-5-12 15:12:3,23.56093,120.47688
2021-5-12 15:12:4,0.068
2021-5-12 15:12:4,23.56093,120.47688
2021-5-12 15:12:6,0.080
2021-5-12 15:12:6,23.56093,120.47687
2021-5-12 15:12:7,0.124
2021-5-12 15:12:7,23.56094,120.47687
2021-5-12 15:12:9,0.169
2021-5-12 15:12:9,23.56094,120.47687
2021-5-12 15:12:10,0.199
2021-5-12 15:12:10,23.56094,120.47686
2021-5-12 15:12:12,0.204
2021-5-12 15:12:12,23.56094,120.47685
2021-5-12 15:12:13,0.264
2021-5-12 15:12:13,23.56094,120.47685
2021-5-12 15:12:15,0.295
2021-5-12 15:12:15,23.56094,120.47684
2021-5-12 15:12:16,0.371
2021-5-12 15:12:16,23.56096,120.47684
2021-5-12 15:12:18,0.399
2021-5-12 15:12:18,23.56096,120.47683
2021-5-12 15:12:19,0.466
2021-5-12 15:12:19,23.56096,120.47682
2021-5-12 15:12:21,0.519
2021-5-12 15:12:21,23.56097,120.47681
2021-5-12 15:12:22,0.590
2021-5-12 15:12:22,23.56098,120.47680
2021-5-12 15:12:24,0.706
2021-5-12 15:12:24,23.56099,120.47678
2021-5-12 15:12:25,14.323
2021-5-12 15:12:25,23.56133,120.47627
2021-5-12 15:12:27,14.274
2021-5-12 15:12:27,23.56136,120.47622
2021-5-12 15:12:28,14.242
2021-5-12 15:12:28,23.56138,120.47616
2021-5-12 15:12:30,13.855
2021-5-12 15:12:30,23.56142,120.47612
2021-5-12 15:12:31,13.800
2021-5-12 15:12:31,23.56144,120.47606
2021-5-12 15:12:33,12.839
2021-5-12 15:12:33,23.56143,120.47600
2021-5-12 15:12:34,12.715
2021-5-12 15:12:34,23.56144,120.47595
2021-5-12 15:12:36,12.690
2021-5-12 15:12:36,23.56144,120.47589
2021-5-12 15:12:37,12.619
2021-5-12 15:12:37,23.56144,120.47584
2021-5-12 15:12:39,12.444
2021-5-12 15:12:39,23.56144,120.47578
2021-5-12 15:12:40,12.388
2021-5-12 15:12:40,23.56143,120.47572
2021-5-12 15:12:42,12.363
2021-5-12 15:12:42,23.56141,120.47567
2021-5-12 15:12:43,12.327
2021-5-12 15:12:43,23.56137,120.47562
2021-5-12 15:12:45,12.559
2021-5-12 15:12:45,23.56134,120.47558
2021-5-12 15:12:46,12.925
2021-5-12 15:12:46,23.56133,120.47552
2021-5-12 15:12:48,13.010
2021-5-12 15:12:48,23.56133,120.47547
2021-5-12 15:12:49,13.074
2021-5-12 15:12:49,23.56133,120.47542
2021-5-12 15:12:51,13.051
2021-5-12 15:12:51,23.56135,120.47537
2021-5-12 15:12:52,13.062
2021-5-12 15:12:52,23.56137,120.47532
2021-5-12 15:12:54,12.948
2021-5-12 15:12:54,23.56139,120.47528
2021-5-12 15:12:55,13.452
2021-5-12 15:12:55,23.56143,120.47522
2021-5-12 15:12:57,13.560
2021-5-12 15:12:57,23.56146,120.47517
2021-5-12 15:12:58,13.623
2021-5-12 15:12:58,23.56148,120.47511
2021-5-12 15:13:0,13.682
2021-5-12 15:13:0,23.56150,120.47506
2021-5-12 15:13:1,13.732
2021-5-12 15:13:1,23.56153,120.47501
2021-5-12 15:13:3,13.768
2021-5-12 15:13:3,23.56155,120.47495
2021-5-12 15:13:4,13.888
2021-5-12 15:13:4,23.56158,120.47490
2021-5-12 15:13:6,13.949
2021-5-12 15:13:6,23.56162,120.47484
2021-5-12 15:13:7,13.992
2021-5-12 15:13:7,23.56164,120.47479
2021-5-12 15:13:9,13.817
2021-5-12 15:13:9,23.56167,120.47475
