2021-6-9 11:1:10,0.124
2021-6-9 11:1:10,23.56266,120.47868
2021-6-9 11:1:12,0.124
2021-6-9 11:1:12,23.56265,120.47868
2021-6-9 11:1:13,0.124
2021-6-9 11:1:13,23.56265,120.47868
2021-6-9 11:1:15,0.124
2021-6-9 11:1:15,23.56265,120.47868
2021-6-9 11:1:16,0.125
2021-6-9 11:1:16,23.56265,120.47868
2021-6-9 11:1:18,0.125
2021-6-9 11:1:18,23.56265,120.47869
2021-6-9 11:1:19,0.127
2021-6-9 11:1:19,23.56265,120.47869
2021-6-9 11:1:21,0.122
2021-6-9 11:1:21,23.56265,120.47869
2021-6-9 11:1:22,0.122
2021-6-9 11:1:22,23.56265,120.47869
2021-6-9 11:1:24,0.109
2021-6-9 11:1:24,23.56265,120.47869
2021-6-9 11:1:25,0.113
2021-6-9 11:1:25,23.56265,120.47869
2021-6-9 11:1:27,0.104
2021-6-9 11:1:27,23.56265,120.47869
2021-6-9 11:1:28,0.100
2021-6-9 11:1:28,23.56265,120.47868
2021-6-9 11:1:30,0.093
2021-6-9 11:1:30,23.56265,120.47868
2021-6-9 11:1:31,0.090
2021-6-9 11:1:31,23.56266,120.47868
2021-6-9 11:1:33,0.090
2021-6-9 11:1:33,23.56266,120.47868
2021-6-9 11:1:34,0.084
2021-6-9 11:1:34,23.56266,120.47868
2021-6-9 11:1:36,0.084
2021-6-9 11:1:36,23.56265,120.47868
2021-6-9 11:1:37,0.072
2021-6-9 11:1:37,23.56266,120.47869
2021-6-9 11:1:39,0.080
2021-6-9 11:1:39,23.56265,120.47869
2021-6-9 11:1:40,0.077
2021-6-9 11:1:40,23.56265,120.47869
2021-6-9 11:1:42,0.087
2021-6-9 11:1:42,23.56265,120.47870
2021-6-9 11:1:43,0.089
2021-6-9 11:1:43,23.56265,120.47870
2021-6-9 11:1:45,0.103
2021-6-9 11:1:45,23.56265,120.47871
2021-6-9 11:1:46,0.168
2021-6-9 11:1:46,23.56266,120.47871
2021-6-9 11:1:48,0.332
2021-6-9 11:1:48,23.56265,120.47872
2021-6-9 11:1:49,0.776
2021-6-9 11:1:49,23.56265,120.47873
2021-6-9 11:1:51,0.801
2021-6-9 11:1:51,23.56265,120.47874
2021-6-9 11:1:52,0.933
2021-6-9 11:1:52,23.56265,120.47875
2021-6-9 11:1:54,1.510
2021-6-9 11:1:54,23.56264,120.47877
2021-6-9 11:1:55,1.843
2021-6-9 11:1:55,23.56264,120.47880
2021-6-9 11:1:57,2.130
2021-6-9 11:1:57,23.56263,120.47883
2021-6-9 11:1:58,2.286
2021-6-9 11:1:58,23.56262,120.47884
2021-6-9 11:2:0,2.492
2021-6-9 11:2:0,23.56261,120.47887
2021-6-9 11:2:1,2.818
2021-6-9 11:2:1,23.56259,120.47889
