lati,long,Gyro,Gear,Rate,Pressure,Heartbeat,Temp,Time
2.356271999999999878e+01,1.204786900000000003e+02,-3.132774193548387043e+00,1.000000000000000000e+00,1.044149999999999939e-01,5.684000000000000163e+00,4.685350318471337516e+01,2.977792993630573193e+01,6.480987000000000000e+07
2.356271999999999878e+01,1.204786900000000003e+02,-3.210094936708860924e+00,1.000000000000000000e+00,1.011900000000000160e-01,5.680539682539682111e+00,7.746835443037974755e+01,2.973628571428571377e+01,6.481017000000000000e+07
2.356271999999999878e+01,1.204786900000000003e+02,-3.227619047619047610e+00,1.000000000000000000e+00,1.032900000000000207e-01,5.714290220820189781e+00,6.879682539682539755e+01,2.971000000000000085e+01,6.481047000000000000e+07
2.356271999999999878e+01,1.204786900000000003e+02,-3.168407643312102007e+00,1.000000000000000000e+00,1.053900000000000114e-01,5.733258785942492608e+00,6.300000000000000000e+01,2.971000000000000085e+01,6.481077000000000000e+07
2.356271999999999878e+01,1.204786900000000003e+02,-3.135269841269841429e+00,1.000000000000000000e+00,1.161749999999999866e-01,5.802898089171974583e+00,4.177070063694267787e+01,2.976085714285714445e+01,6.481107000000000000e+07
2.356271999999999878e+01,1.204786900000000003e+02,-3.054528301886792363e+00,1.000000000000000000e+00,1.169249999999999873e-01,5.860000000000000320e+00,5.208253968253968225e+01,2.980000000000000071e+01,6.481137000000000000e+07
2.356271999999999878e+01,1.204786900000000003e+02,-3.003029411764705614e+00,1.000000000000000000e+00,1.176749999999999879e-01,5.984247787610619262e+00,6.481012658227848533e+01,2.980000000000000071e+01,6.481167000000000000e+07
2.356271999999999878e+01,1.204786900000000003e+02,-2.768641114982578255e+00,1.000000000000000000e+00,1.184249999999999886e-01,6.302831858407079046e+00,6.300000000000000000e+01,2.976200000000000045e+01,6.481197000000000000e+07
2.356271999999999878e+01,1.204786900000000003e+02,-2.288535031847133805e+00,1.000000000000000000e+00,1.191749999999999893e-01,9.904146341463414771e+00,4.842675159235668758e+01,2.971000000000000085e+01,6.481227000000000000e+07
2.356271999999999878e+01,1.204786900000000003e+02,-2.935189873417721529e+00,1.000000000000000000e+00,1.199249999999999899e-01,8.368471337579618918e+00,4.406329113924050489e+01,2.973971428571428532e+01,6.481257000000000000e+07
2.356271999999999878e+01,1.204786900000000003e+02,-3.908917197452228987e+00,1.000000000000000000e+00,1.206749999999999906e-01,7.340095238095237562e+00,5.832165605095541139e+01,2.977457142857143069e+01,6.481287000000000000e+07
2.356273829999999947e+01,1.204786900000000003e+02,-3.738840125391849512e+00,1.000000000000000000e+00,1.186799999999999938e-01,9.652689873417720889e+00,5.000000000000000000e+01,2.973114285714285643e+01,6.481317000000000000e+07
2.356273529999999994e+01,1.204786900000000003e+02,-1.378038585209003353e+00,1.000000000000000000e+00,1.198800000000000004e-01,7.404433962264151070e+00,4.629936305732483959e+01,2.980000000000000071e+01,6.481347000000000000e+07
2.356273229999999685e+01,1.204786900000000003e+02,-4.676190476190478229e-02,1.000000000000000000e+00,1.210799999999999932e-01,4.222129032258064463e+00,4.191428571428571104e+01,2.978742857142857048e+01,6.481377000000000000e+07
2.356270999999999916e+01,1.204786803499999905e+02,-1.618919753086419888e+00,1.000000000000000000e+00,1.425450000000000050e-01,3.527444794952681484e+00,6.300000000000000000e+01,2.971805555555555500e+01,6.481407000000000000e+07
2.356270999999999916e+01,1.204786818500000010e+02,-1.776327160493827106e+00,1.000000000000000000e+00,1.405949999999999978e-01,5.661055900621118298e+00,6.300000000000000000e+01,2.979852941176470793e+01,6.481437000000000000e+07
2.356270999999999916e+01,1.204786833499999972e+02,1.475555555555555953e+00,1.000000000000000000e+00,1.386449999999999905e-01,1.102990228013029395e+01,6.055414012738853557e+01,2.971029411764705941e+01,6.481467000000000000e+07
2.356270999999999916e+01,1.204786848499999934e+02,3.038216560509552355e-01,1.000000000000000000e+00,1.366950000000000109e-01,1.438101910828025609e+01,3.100000000000000000e+01,2.971000000000000085e+01,6.481497000000000000e+07
2.356270999999999916e+01,1.204786863500000038e+02,1.445962145110409880e+00,1.000000000000000000e+00,1.347450000000000037e-01,7.147312500000000846e+00,3.100000000000000000e+01,2.971000000000000085e+01,6.481527000000000000e+07
2.356270999999999916e+01,1.204786878500000000e+02,-2.230764331210191020e+00,1.000000000000000000e+00,1.327949999999999964e-01,4.123225806451612740e+00,3.100000000000000000e+01,2.971000000000000085e+01,6.481557000000000000e+07
2.356270999999999916e+01,1.204786893499999962e+02,-1.186214511041009168e+00,1.000000000000000000e+00,1.308450000000000168e-01,7.769433962264150395e+00,5.916403785488958533e+01,2.971000000000000085e+01,6.481587000000000000e+07
2.356269169999999846e+01,1.204787000000000035e+02,-8.840764331210193561e-02,1.000000000000000000e+00,1.407900000000000262e-01,1.046592356687898118e+01,6.300000000000000000e+01,2.971000000000000085e+01,6.481617000000000000e+07
2.356269469999999799e+01,1.204787000000000035e+02,9.701273885350316650e-01,1.000000000000000000e+00,1.368900000000000117e-01,1.170796825396825369e+01,3.772611464968152717e+01,2.971000000000000085e+01,6.481647000000000000e+07
