lati,long,Gyro,Gear,Rate,Pressure,Heartbeat,Temp
2.356268999999999991e+01,1.204788000000000068e+02,-4.111374999999999780e+00,1.000000000000000000e+00,6.563000000000002165e-02,1.936419753086419671e-01,5.900000000000000000e+01,3.214999999999999858e+01
2.356268999999999991e+01,1.204788000000000068e+02,-3.828062499999999702e+00,1.000000000000000000e+00,6.773000000000001242e-02,1.813681948424068768e-01,5.900000000000000000e+01,3.214999999999999858e+01
2.356268999999999991e+01,1.204788000000000068e+02,-3.530406249999999968e+00,1.000000000000000000e+00,6.983000000000001706e-02,1.706232091690544350e-01,4.689374999999999716e+01,3.214999999999999858e+01
2.356268999999999991e+01,1.204788000000000068e+02,-3.232749999999999790e+00,1.000000000000000000e+00,7.193000000000000782e-02,1.598782234957020210e-01,3.470624999999999716e+01,3.214999999999999858e+01
2.356268999999999991e+01,1.204788000000000068e+02,-2.935093750000000057e+00,1.000000000000000000e+00,8.599999999999999312e-02,1.491332378223495791e-01,2.251875000000000426e+01,3.214999999999999858e+01
2.356268999999999991e+01,1.204788000000000068e+02,-2.860250000000000181e+00,1.000000000000000000e+00,8.599999999999999312e-02,1.526562500000000211e-01,1.033125000000000426e+01,3.214999999999999858e+01
2.356268999999999991e+01,1.204788000000000068e+02,-2.864374999999999893e+00,1.000000000000000000e+00,8.599999999999999312e-02,2.300000000000000100e-01,7.000000000000000000e+00,3.214999999999999858e+01
2.356268999999999991e+01,1.204788000000000068e+02,-2.817499999999999893e+00,1.000000000000000000e+00,8.599999999999999312e-02,3.262732919254658359e-01,2.182131661442006276e+01,3.214999999999999858e+01
2.356268999999999991e+01,1.204788000000000068e+02,-2.902375000000000149e+00,1.000000000000000000e+00,8.599999999999999312e-02,5.591925465838508691e-01,5.318068535825544529e+01,3.214999999999999858e+01
2.356268999999999991e+01,1.204788000000000068e+02,-3.180645161290322598e+00,1.000000000000000000e+00,8.599999999999999312e-02,4.088328075709779519e-01,6.312539184952977678e+01,3.214999999999999858e+01
2.356268999999999991e+01,1.204788000000000068e+02,-3.355480769230769322e+00,1.000000000000000000e+00,9.936999999999997224e-02,1.978947368421052622e-01,6.119760479041916312e+01,3.214999999999999858e+01
2.356268999999999991e+01,1.204788000000000068e+02,-3.136899696048632169e+00,1.000000000000000000e+00,9.726999999999998148e-02,2.200000000000000011e-01,6.450931677018633081e+01,3.216900621118012538e+01
2.356268999999999991e+01,1.204788000000000068e+02,-3.129871794871795121e+00,1.000000000000000000e+00,9.516999999999997684e-02,1.523939393939393927e+00,5.994043887147335425e+01,3.222702194357366778e+01
2.356268999999999991e+01,1.204788000000000068e+02,-3.283602484472049277e+00,1.000000000000000000e+00,9.306999999999998607e-02,4.077307692307692299e+00,7.608695652173912549e+01,3.214999999999999858e+01
2.356268999999999991e+01,1.204788085500000108e+02,-3.991677018633540186e+00,1.000000000000000000e+00,7.814500000000000612e-02,5.808615384615384514e+00,5.897178683385580200e+01,3.215141065830720635e+01
2.356268999999999991e+01,1.204788070500000146e+02,-3.713040752351097318e+00,1.000000000000000000e+00,7.829500000000000348e-02,5.422626582278480711e+00,5.412461059190031420e+01,3.223605015673981455e+01
2.356268999999999991e+01,1.204788055500000041e+02,-3.587819314641744306e+00,1.000000000000000000e+00,7.844500000000000084e-02,5.572741433021806579e+00,8.293416927899686186e+01,3.215981308411215167e+01
2.356268999999999991e+01,1.204788040500000079e+02,-3.422288401253918533e+00,1.000000000000000000e+00,7.859499999999999820e-02,5.985423197492163006e+00,6.318495297805642963e+01,3.214999999999999858e+01
2.356268999999999991e+01,1.204788025500000117e+02,-3.294392523364485736e+00,1.000000000000000000e+00,7.874499999999999555e-02,5.990186915887850461e+00,5.760747663551401843e+01,3.221897196261682694e+01
2.356268999999999991e+01,1.204788010500000013e+02,-3.201316614420062656e+00,1.000000000000000000e+00,7.889500000000000679e-02,5.707617554858933850e+00,5.945454545454545325e+01,3.224000000000000199e+01
2.356267090000000053e+01,1.204787709000000007e+02,-3.222990654205607264e+00,1.000000000000000000e+00,3.607000000000001871e-02,6.129876543209876516e+00,6.829283489096573589e+01,3.218224299065420269e+01
2.356267390000000006e+01,1.204787738999999931e+02,-3.238934169278997022e+00,1.000000000000000000e+00,4.297000000000001513e-02,5.761000000000000121e+00,6.337931034482758719e+01,3.214999999999999858e+01
2.356267689999999959e+01,1.204787768999999997e+02,-3.196791277258566932e+00,1.000000000000000000e+00,4.987000000000001154e-02,5.513406250000000064e+00,6.125856697819314434e+01,3.214999999999999858e+01
2.356267989999999912e+01,1.204787799000000064e+02,-3.254263322884012322e+00,1.000000000000000000e+00,5.677000000000000796e-02,5.335281250000000419e+00,6.313479623824451181e+01,3.219090909090908781e+01
2.356269999999999953e+01,1.204788000000000068e+02,-3.407165109034267836e+00,1.000000000000000000e+00,9.530499999999998695e-02,5.572131661442005779e+00,6.400000000000000000e+01,3.224000000000000199e+01
2.356269999999999953e+01,1.204788000000000068e+02,-3.454482758620689431e+00,1.000000000000000000e+00,9.665499999999999092e-02,5.791869158878504287e+00,4.897178683385580200e+01,3.221037617554858912e+01
2.356269999999999953e+01,1.204788000000000068e+02,-3.407757009345794508e+00,1.000000000000000000e+00,9.800499999999999490e-02,5.861222570532915732e+00,4.292211838006230096e+01,3.217411214953271070e+01
2.356269999999999953e+01,1.204788000000000068e+02,-3.286990595611285482e+00,1.000000000000000000e+00,9.935499999999998499e-02,5.390124999999999389e+00,6.336677115987460951e+01,3.224000000000000199e+01
2.356269999999999953e+01,1.204788000000000068e+02,-3.489532710280373706e+00,1.000000000000000000e+00,1.007049999999999890e-01,4.720593749999999922e+00,6.200000000000000000e+01,3.224000000000000199e+01
2.356269999999999953e+01,1.204788000000000068e+02,-5.716802507836990621e+00,1.000000000000000000e+00,1.020549999999999929e-01,4.858380062305296399e+00,5.607210031347962342e+01,3.224000000000000199e+01
2.356269999999999953e+01,1.204788000000000068e+02,-6.346896551724137581e+00,1.000000000000000000e+00,1.196400000000000102e-01,5.192874999999999908e+00,3.387850467289719347e+01,3.224186915887850802e+01
2.356269999999999953e+01,1.204788000000000068e+02,-7.351339563862928195e+00,1.000000000000000000e+00,1.184400000000000036e-01,7.462990654205606589e+00,5.300000000000000000e+01,3.233532710280373834e+01
