2021-6-2 13:18:55,0.126
2021-6-2 13:18:55,23.56268,120.47879
2021-6-2 13:18:57,0.114
2021-6-2 13:18:57,23.56268,120.47879
2021-6-2 13:18:58,0.097
2021-6-2 13:18:58,23.56268,120.47879
2021-6-2 13:19:0,0.078
2021-6-2 13:19:0,23.56268,120.47879
2021-6-2 13:19:1,0.039
2021-6-2 13:19:1,23.56268,120.47878
2021-6-2 13:19:3,0.021
2021-6-2 13:19:3,23.56268,120.47878
2021-6-2 13:19:4,0.038
2021-6-2 13:19:4,23.56268,120.47878
2021-6-2 13:19:6,0.056
2021-6-2 13:19:6,23.56268,120.47879
2021-6-2 13:19:7,0.070
2021-6-2 13:19:7,23.56268,120.47879
2021-6-2 13:19:9,0.080
2021-6-2 13:19:9,23.56268,120.47879
2021-6-2 13:19:10,0.078
2021-6-2 13:19:10,23.56268,120.47879
2021-6-2 13:19:12,0.086
2021-6-2 13:19:12,23.56268,120.47880
2021-6-2 13:19:13,0.075
2021-6-2 13:19:13,23.56269,120.47880
2021-6-2 13:19:15,0.079
2021-6-2 13:19:15,23.56269,120.47880
2021-6-2 13:19:16,0.086
2021-6-2 13:19:16,23.56269,120.47880
2021-6-2 13:19:18,0.086
2021-6-2 13:19:18,23.56269,120.47880
2021-6-2 13:19:19,0.079
2021-6-2 13:19:19,23.56269,120.47880
2021-6-2 13:19:21,0.080
2021-6-2 13:19:21,23.56269,120.47879
2021-6-2 13:19:22,0.103
2021-6-2 13:19:22,23.56270,120.47880
2021-6-2 13:19:24,0.112
2021-6-2 13:19:24,23.56270,120.47880
2021-6-2 13:19:25,0.108
2021-6-2 13:19:25,23.56270,120.4788
2021-6-2 13:19:27,0.108
2021-6-2 13:19:27,23.56270,120.47880
2021-6-2 13:19:28,0.123
2021-6-2 13:19:28,23.56270,120.47880
2021-6-2 13:19:30,0.273
2021-6-2 13:19:30,23.56270,120.47880
2021-6-2 13:19:31,0.326
2021-6-2 13:19:31,23.56271,120.47880
2021-6-2 13:19:33,0.353
2021-6-2 13:19:33,23.56271,120.47879
2021-6-2 13:19:34,0.414
2021-6-2 13:19:34,23.56270,120.47880
2021-6-2 13:19:36,0.481
2021-6-2 13:19:36,23.56270,120.47881
2021-6-2 13:19:37,0.533
2021-6-2 13:19:37,23.56270,120.47882
2021-6-2 13:19:39,0.554
2021-6-2 13:19:39,23.56270,120.47883
2021-6-2 13:19:40,0.569
2021-6-2 13:19:40,23.56270,120.47883
2021-6-2 13:19:42,0.657
2021-6-2 13:19:42,23.56270,120.47884
2021-6-2 13:19:43,0.736
2021-6-2 13:19:43,23.56270,120.47886
2021-6-2 13:19:45,0.755
2021-6-2 13:19:45,23.56269,120.47886
2021-6-2 13:19:46,0.781
2021-6-2 13:19:46,23.56269,120.47887
2021-6-2 13:19:48,0.824
2021-6-2 13:19:48,23.56269,120.47888
2021-6-2 13:19:49,0.877
2021-6-2 13:19:49,23.56269,120.47889
2021-6-2 13:19:51,0.915
2021-6-2 13:19:51,23.56268,120.47890
2021-6-2 13:19:52,0.938
2021-6-2 13:19:52,23.56268,120.47891
2021-6-2 13:19:54,1.032
