lati,long,Gyro,Gear,Rate,Pressure,Heartbeat,Temp,map_inf
23.561236345,120.477536345,-2.6344444444444437,1.0,3.3830555,3.0780000000000003,67.9540412044374,30.18835443037975,0
23.561234845,120.477534845,-1.8636277602523648,1.0,3.3802055,4.187223974763406,58.05047318611987,30.24658227848101,0
23.561233345,120.47753334499998,-70.02414012738853,1.0,3.3773555,4.442038216560508,56.0,30.198253968253965,0
23.561231845,120.477531845,-42.146908517350155,1.0,3.3745055,4.884858044164038,77.79617834394901,30.236561514195586,0
23.561230345,120.477530345,-4.893769968051118,1.0,3.3716555,4.650064102564103,62.518987341772146,30.207820512820522,0
23.56123769,120.47752,-2.6920700636942674,1.0,3.3891489999999997,4.324012738853504,67.43312101910828,30.17,0
23.56123469,120.47752,-29.106242038216568,1.0,3.3828489999999998,4.8163375796178345,60.37142857142857,30.17,0
23.56123169,120.47752,-34.544666666666664,1.0,3.376549,5.000764331210191,70.1656050955414,30.17,0
23.561219345,120.477529345,-5.79,1.0,3.3468864999999997,5.24996835443038,66.8888888888889,30.17,0
23.561217845,120.47752784499998,-4.252336448598132,1.0,3.3443365,5.2690654205607474,66.34069400630915,30.2084375,0
23.561216345,120.477526345,-2.9745161290322586,1.0,3.3417865,5.117491961414792,69.98089171974522,30.23688102893891,0
23.561214845,120.477524845,-0.4619745222929934,1.0,3.3392364999999997,6.362420382165606,63.90445859872612,30.17,0
23.561213344999995,120.47752334499998,3.652151898734177,1.0,3.3366865,9.030285714285714,80.5253164556962,30.17,0
23.561211844999995,120.47752184499998,6.08700636942675,1.0,3.3341364999999996,8.307515923566879,59.398089171974505,30.19,0
23.561210345,120.477520345,7.197579617834394,1.0,3.3315865,7.583630573248406,58.111111111111114,30.27,0
23.56121769,120.47751000000001,-2.8427044025157238,1.0,3.3157690000000004,17.675331230283913,85.0,30.27,0
23.56121469,120.47751000000001,-2.6357234726688104,1.0,3.315469,10.189526813880127,85.0,30.27,0
23.56121169,120.47751000000001,-4.564983922829582,1.0,3.315169,5.380192926045016,78.84858044164038,30.27,0
23.561199345,120.477519345,-4.351198738170346,1.0,3.3064584999999997,3.9586435331230287,22.07006369426752,30.27,0
23.561197844999995,120.477517845,-4.136624203821657,1.0,3.3075085000000004,4.434380952380953,69.84076433121018,30.352571428571423,0
23.561196344999995,120.47751634499998,-4.65235668789809,1.0,3.3085584999999997,6.350509554140128,63.3343949044586,30.36,0
23.561194845,120.477514845,-5.445856459330144,2.0,3.3096085000000004,7.518479657387581,63.0,30.337586206896553,0
23.561193345,120.477513345,-6.275521531100479,2.0,3.3106584999999997,6.339678800856532,51.65196548418026,30.311724137931037,0
23.561191845,120.47751184499998,-7.105186602870813,2.0,3.3117085000000004,5.160877944325482,38.996164908916576,30.28586206896552,0
23.561190345,120.47751034499998,-7.4269426751592365,2.0,3.3127584999999997,3.9820770877944316,26.34036433365292,30.303142857142852,0
23.56119769,120.47751769,-6.617943037974683,2.0,3.3235379999999997,4.146237942122186,36.54430379746836,30.36,0
23.56119469,120.47751469,-5.292229299363057,2.0,3.3229379999999997,9.748,63.0,30.36,0
23.56119169,120.47751169,-4.400477707006369,2.0,3.322338,13.516190476190474,63.0,30.36,0
23.561179345,120.47748999999999,-6.75253164556962,2.0,3.3282795,7.8428571428571425,63.0,30.36,0
23.561177845,120.47748999999999,-7.2554777070063725,2.0,3.3266294999999997,3.7171428571428566,63.0,30.348000000000003,0
23.561176345,120.47748999999999,-5.927452229299363,2.0,3.3249795,9.467579617834396,63.0,30.27773885350318,0
23.561174845,120.47748999999999,-1.8973968253968247,2.0,3.3233295,10.55636655948553,61.82165605095541,30.356273885350323,0
23.561173345,120.47748999999999,-4.1164444444444435,2.0,3.3216794999999997,5.991656050955414,54.83121019108279,30.27028662420381,0
23.561171845,120.47748999999999,-5.750191082802548,2.0,3.3200295,3.8934394904458602,77.57278481012658,30.355428571428572,0
