lati,long,Gyro,Gear,Rate,Pressure,Heartbeat,Temp
2.356372999999999962e+01,1.204779300000000006e+02,-8.649557522123885178e-01,1.000000000000000000e+00,9.291899999999998772e-02,2.225964601769911511e+01,6.969047619047618980e+01,3.147419354838709893e+01
2.356372999999999962e+01,1.204779300000000006e+02,-1.546579104477611999e+01,1.000000000000000000e+00,9.021899999999999364e-02,2.651432835820895662e+01,5.183333333333332860e+01,3.148000000000000043e+01
2.356372999999999962e+01,1.204779300000000006e+02,1.666842105263157237e+00,1.000000000000000000e+00,8.751899999999998569e-02,2.964217008797653818e+01,6.726946107784431206e+01,3.148000000000000043e+01
2.356372999999999962e+01,1.204779300000000006e+02,7.690532544378694269e-01,1.000000000000000000e+00,8.481899999999999162e-02,1.892970414201183615e+01,5.891495601173020447e+01,3.154036036036035995e+01
2.356372999999999962e+01,1.204779389549999991e+02,9.224464285714283562e+00,1.000000000000000000e+00,6.510449999999999571e-02,4.848591715976331784e+01,5.500000000000000000e+01,3.153044247787610388e+01
2.356372999999999962e+01,1.204779374550000028e+02,2.261452380952380636e+01,1.000000000000000000e+00,6.525450000000000694e-02,1.954428571428571360e+01,5.551190476190475920e+01,3.148000000000000043e+01
2.356372999999999962e+01,1.204779359550000066e+02,-2.158333333333324333e-01,1.000000000000000000e+00,6.540450000000000430e-02,1.558000000000000007e+01,6.247619047619047450e+01,3.148000000000000043e+01
2.356372999999999962e+01,1.204779344549999962e+02,1.449964912280701768e+01,1.000000000000000000e+00,6.555450000000000166e-02,3.739052631578947228e+01,6.644444444444444287e+01,3.148000000000000043e+01
2.356372999999999962e+01,1.204779329550000000e+02,2.596491228070263446e-02,1.000000000000000000e+00,6.570449999999999902e-02,1.859842105263157919e+01,5.369047619047618980e+01,3.148000000000000043e+01
2.356372999999999962e+01,1.204779314550000038e+02,1.666464285714285865e+01,1.000000000000000000e+00,6.585449999999999637e-02,2.666470238095238443e+01,5.713095238095237960e+01,3.148000000000000043e+01
2.356372999999999962e+01,1.204779199999999975e+02,-1.628698224852069387e+00,1.000000000000000000e+00,5.704500000000002624e-02,3.283676470588235219e+01,5.891666666666666430e+01,3.148000000000000043e+01
2.356372999999999962e+01,1.204779199999999975e+02,5.921454005934718268e+00,1.000000000000000000e+00,5.854500000000002063e-02,1.558000000000000007e+01,6.488823529411764923e+01,3.148000000000000043e+01
2.356372999999999962e+01,1.204779199999999975e+02,3.937611940298506141e+00,1.000000000000000000e+00,6.004500000000001503e-02,1.824522388059701683e+01,5.939104477611940069e+01,3.154059701492537116e+01
2.356372999999999962e+01,1.204779199999999975e+02,5.942805970149254158e+00,1.000000000000000000e+00,6.154500000000001636e-02,3.179979104477612140e+01,5.700000000000000000e+01,3.152985074626865725e+01
