9.776596426963806152e-01,2.102078869938850403e-02,1.300649601034820080e-04,5.097394459880888462e-04,6.527826189994812012e-04,2.695140574360266328e-05
9.961530566215515137e-01,3.505798056721687317e-03,4.976220679964171723e-06,1.627028977964073420e-04,1.723119348753243685e-04,1.079313960872241296e-06
9.961321353912353516e-01,3.525066887959837914e-03,5.040932137490017340e-06,1.634942891541868448e-04,1.731527299853041768e-04,1.127490349972504191e-06
9.961644411087036133e-01,3.492018440738320351e-03,5.066572612122399732e-06,1.634590589674189687e-04,1.738751889206469059e-04,1.181617790280142799e-06
9.961807727813720703e-01,3.482013009488582611e-03,4.978785000275820494e-06,1.576028153067454696e-04,1.734899560688063502e-04,1.156944904323609080e-06
9.804705381393432617e-01,1.866042241454124451e-02,2.915157892857678235e-05,4.495203320402652025e-04,3.858967393171042204e-04,4.442133558768546209e-06
9.848629832267761230e-01,1.451623253524303436e-02,1.555047492729499936e-05,3.018497955054044724e-04,3.002870071213692427e-04,3.120299879810772836e-06
9.868146181106567383e-01,1.267288345843553543e-02,1.211635753861628473e-05,2.429280575597658753e-04,2.550491190049797297e-04,2.482164745742920786e-06
9.872558116912841797e-01,1.223582401871681213e-02,1.157475435320520774e-05,2.415023045614361763e-04,2.529252960812300444e-04,2.455375806675874628e-06
9.919855594635009766e-01,7.645028177648782730e-03,6.808248599554644898e-06,1.720641594147309661e-04,1.887593680294230580e-04,1.720858108456013724e-06
9.837589263916015625e-01,1.560777146369218826e-02,1.514689301984617487e-05,3.062925534322857857e-04,3.086577635258436203e-04,3.146737299175583757e-06
9.815931916236877441e-01,1.768899336457252502e-02,1.788696681614965200e-05,3.510405658744275570e-04,3.454308025538921356e-04,3.495032615319360048e-06
9.885395169258117676e-01,1.094981748610734940e-02,1.118153613788308576e-05,2.448444138281047344e-04,2.523584698792546988e-04,2.281680508531280793e-06
9.883053302764892578e-01,1.117662433534860611e-02,1.181550305773271248e-05,2.487876045051962137e-04,2.552094520069658756e-04,2.299838342878501862e-06
