5.364980101585388184e-01,2.217318117618560791e-02,3.147364407777786255e-02,1.276200823485851288e-02,1.243572458624839783e-01,2.727359533309936523e-01
9.999547004699707031e-01,7.730377546977251768e-06,2.833267899404745549e-06,4.614218596543651074e-06,7.285414994839811698e-06,2.282765854033641517e-05
9.999457597732543945e-01,1.000567954179132357e-05,3.612640512073994614e-06,5.529499048861907795e-06,8.555341992178000510e-06,2.659886376932263374e-05
9.999496936798095703e-01,9.544155545881949365e-06,3.069261993005056866e-06,5.002003490517381579e-06,8.527019417670089751e-06,2.408084037597291172e-05
9.999716281890869141e-01,4.212550720694707707e-06,1.325382527284091339e-06,2.783006948448019102e-06,5.526774202735396102e-06,1.458013412047876045e-05
9.999803304672241211e-01,3.129821834590984508e-06,7.498517220483336132e-07,6.875932740513235331e-06,5.362121100915828720e-06,3.556181582098361105e-06
9.999283552169799805e-01,2.113349364663008600e-05,4.171030923316720873e-06,2.069518814096227288e-05,1.745562076393980533e-05,8.216651622205972672e-06
9.998772144317626953e-01,4.087161869392730296e-05,7.899150659795850515e-06,3.082472539972513914e-05,2.994072383444290608e-05,1.329942733718780801e-05
9.998948574066162109e-01,3.134457438136450946e-05,6.575771749339764938e-06,2.828348260663915426e-05,2.675455107237212360e-05,1.220414014824200422e-05
9.999290704727172852e-01,2.167546335840597749e-05,3.519642177707282826e-06,1.541722849651705474e-05,2.122963996953330934e-05,9.053091162058990449e-06
9.998897314071655273e-01,4.204069773550145328e-05,7.269139587151585147e-06,2.726441016420722008e-05,2.287813185830600560e-05,1.080493620975175872e-05
9.999212026596069336e-01,2.966797546832822263e-05,4.454750069271540269e-06,1.987108225875999779e-05,1.657604843785520643e-05,8.262512892542872578e-06
9.999817609786987305e-01,3.670584419523947872e-06,6.184095013850310352e-07,5.064927336206892505e-06,6.049773674021707848e-06,2.878344730561366305e-06
9.999812841415405273e-01,3.830100013146875426e-06,6.423646823350281920e-07,5.196164238441269845e-06,6.201221822266234085e-06,2.874516439987928607e-06
9.997977614402770996e-01,6.269809819059446454e-05,1.057845747709507123e-05,4.251121208653785288e-05,6.016497718519531190e-05,2.628779111546464264e-05
9.657605886459350586e-01,3.124627657234668732e-02,1.601585536263883114e-04,3.665359690785408020e-04,1.357889734208583832e-03,1.108571072109043598e-03
9.997267127037048340e-01,1.709657954052090645e-04,1.204298860102426261e-05,3.109915633103810251e-05,4.008392352261580527e-05,1.916356450237799436e-05
9.997552037239074707e-01,1.303396857110783458e-04,1.653372055443469435e-05,3.723220652318559587e-05,4.073977106600068510e-05,1.988016083487309515e-05
9.998891353607177734e-01,3.802221908699721098e-05,6.272808150242781267e-06,2.358513120270799845e-05,2.993497218994889408e-05,1.301681186305359006e-05
9.998720884323120117e-01,6.062569082132540643e-05,6.513047992484644055e-06,2.556067920522764325e-05,2.372798735450487584e-05,1.146185513789532706e-05
9.999711513519287109e-01,7.186928087321575731e-06,1.123659785662312061e-06,6.645338999078376219e-06,9.468200005358085036e-06,4.481486030272208154e-06
