9.999986886978149414e-01,3.954744158818357391e-07,1.136993277306430628e-09,4.800006081495666876e-08,8.151419024216011167e-07,5.505932421101533691e-08
9.999054670333862305e-01,3.487096546450629830e-05,5.503157353814458475e-06,7.881089004513341933e-06,1.623151365492958575e-05,3.005735197803005576e-05
9.999045133590698242e-01,3.527111039147712290e-05,5.597047220362583175e-06,7.977228960953652859e-06,1.636961860640440136e-05,3.032468703167978674e-05
9.999033212661743164e-01,3.569803084246814251e-05,5.697317192243644968e-06,8.077196980593726039e-06,1.651418460824061185e-05,3.061435927520506084e-05
9.999012947082519531e-01,3.685583578771911561e-05,5.681895800080383196e-06,8.298452485178131610e-06,1.678883927525021136e-05,3.095830470556393266e-05
9.998922348022460938e-01,4.032584547530859709e-05,6.724397735524689779e-06,9.280784070142544806e-06,1.798893754312302917e-05,3.346160519868135452e-05
9.998961687088012695e-01,3.858057971228845417e-05,6.386881068465299904e-06,8.751228961045853794e-06,1.747833084664307535e-05,3.253873728681355715e-05
9.999011754989624023e-01,3.624535384005866945e-05,6.089961516408948228e-06,8.240464012487791479e-06,1.679007073107641190e-05,3.140704211546108127e-05
9.998012185096740723e-01,7.672395440749824047e-05,1.621023693587630987e-05,2.506023520254530013e-05,2.956336356874089688e-05,5.128103293827734888e-05
9.999452829360961914e-01,2.750963903963565826e-05,2.126618483089259826e-06,2.843934225893463008e-06,1.121723380492767319e-05,1.097106360248290002e-05
9.998993873596191406e-01,3.802989886025898159e-05,8.526493729732464999e-06,9.074440640688408166e-06,2.040567596850451082e-05,2.455476897011976689e-05
9.999566078186035156e-01,1.859507210610900074e-05,1.261547481590241659e-06,5.346399575500981882e-06,1.305203659285325557e-05,5.127133135829353705e-06
9.995417594909667969e-01,3.218572528567165136e-04,1.309130402660230175e-05,1.129705015046056360e-05,8.148239430738613009e-05,3.052511237910948694e-05
9.996740818023681641e-01,2.438646770315244794e-04,6.144119652162771672e-06,6.688028406642843038e-06,4.974675539415329695e-05,1.947345663211308420e-05
9.999431371688842773e-01,3.584085425245575607e-05,6.453278729168232530e-07,1.607873969078355003e-06,1.445486668671946973e-05,4.425106453709304333e-06
9.987938404083251953e-01,1.078032306395471096e-03,9.124695679929573089e-06,8.543742296751588583e-06,8.530475315637886524e-05,2.519241024856455624e-05
9.990019202232360840e-01,9.065872873179614544e-04,1.827566052270412911e-06,3.068804062422714196e-06,7.481056672986596823e-05,1.183398671855684370e-05
8.031483888626098633e-01,1.943330913782119751e-01,7.219553663162514567e-05,6.135564035503193736e-05,2.113524125888943672e-03,2.714399888645857573e-04
9.999736547470092773e-01,9.937687536876183003e-06,1.025207211569068022e-06,1.679247816355200484e-06,8.526069905201438814e-06,5.062100626673782244e-06
9.998942613601684570e-01,4.899941995972767472e-05,6.305504030024167150e-06,1.633658939681481570e-05,2.119380587828345597e-05,1.287853410758543760e-05
9.999729394912719727e-01,1.060824706655694172e-05,7.890777737884491216e-07,4.040484327560989186e-06,8.098972102743573487e-06,3.504165306367212906e-06
9.999735355377197266e-01,1.412474557582754642e-05,3.077968813158804551e-07,5.863171281816903502e-07,8.769760825089178979e-06,2.583345349194132723e-06
9.999721050262451172e-01,1.062180399458156899e-05,8.432613753939222079e-07,4.325458121456904337e-06,8.351194082933943719e-06,3.742540457096765749e-06
9.999694824218750000e-01,1.149611034634290263e-05,9.992610330300522037e-07,5.050679646956268698e-06,8.962935680756345391e-06,4.124753559153759852e-06
9.999859333038330078e-01,4.887283466814551502e-06,3.804432537890534149e-07,1.528223037894349545e-06,5.290811714075971395e-06,2.054860942735103890e-06
9.999786615371704102e-01,6.006368948874296620e-06,9.434751859771495219e-07,3.270976549174520187e-06,7.158218977565411478e-06,3.976105290348641574e-06
