lati,long,Gyro,Gear,Rate,Pressure,Heartbeat,Temp,map_inf
23.56269,120.4788,-4.111375,1.0,0.06563000000000001,0.193641975308642,59.0,32.15,1.0
23.56269,120.4788,-3.8280625,1.0,0.06773000000000001,0.18136819484240688,59.0,32.15,1.0
23.56269,120.4788,-3.53040625,1.0,0.06983000000000003,0.17062320916905446,46.89375,32.15,1.0
23.56269,120.4788,-3.23275,1.0,0.07193000000000001,0.15987822349570202,34.70625,32.15,1.0
23.56269,120.4788,-2.93509375,1.0,0.086,0.14913323782234958,22.518750000000004,32.15,1.0
23.56269,120.4788,-2.86025,1.0,0.086,0.15265625000000002,10.331250000000002,32.15,1.0
23.56269,120.4788,-2.864375,1.0,0.086,0.23,7.0,32.15,1.0
23.56269,120.4788,-2.8175,1.0,0.086,0.32627329192546584,21.821316614420066,32.15,1.0
23.56269,120.4788,-2.902375,1.0,0.086,0.5591925465838509,53.18068535825545,32.15,1.0
23.56269,120.4788,-3.1806451612903226,1.0,0.086,0.40883280757097795,63.125391849529784,32.15,1.0
23.56269,120.4788,-3.3554807692307693,1.0,0.09936999999999996,0.19789473684210526,61.197604790419156,32.15,1.0
23.56269,120.4788,-3.1368996960486326,1.0,0.09726999999999998,0.22,64.50931677018633,32.16900621118012,1.0
23.56269,120.4788,-3.129871794871795,1.0,0.09516999999999998,1.5239393939393941,59.94043887147336,32.22702194357367,1.0
23.56269,120.4788,-3.283602484472049,1.0,0.09306999999999996,4.077307692307692,76.08695652173913,32.15,1.0
23.56269,120.47880855,-3.9916770186335393,1.0,0.078145,5.8086153846153845,58.9717868338558,32.151410658307206,1.0
23.56269,120.47880705,-3.713040752351097,1.0,0.078295,5.422626582278482,54.12461059190033,32.23605015673981,1.0
23.56269,120.47880555,-3.5878193146417448,1.0,0.078445,5.572741433021809,82.93416927899686,32.15981308411215,1.0
23.56269,120.47880405,-3.422288401253919,1.0,0.078595,5.985423197492162,63.18495297805642,32.15,1.0
23.56269,120.47880255,-3.2943925233644857,1.0,0.07874499999999998,5.99018691588785,57.60747663551402,32.21897196261683,1.0
23.56269,120.47880105,-3.2013166144200627,1.0,0.078895,5.707617554858935,59.45454545454545,32.24,1.0
23.562670899999997,120.4787709,-3.2229906542056073,1.0,0.03607000000000001,6.1298765432098765,68.29283489096574,32.1822429906542,1.0
23.562673899999997,120.47877390000001,-3.238934169278997,1.0,0.04297000000000002,5.761,63.3793103448276,32.15,1.0
23.562676899999996,120.47877690000004,-3.196791277258568,1.0,0.04987000000000001,5.51340625,61.25856697819314,32.15,1.0
23.5626799,120.4787799,-3.254263322884012,1.0,0.056770000000000015,5.33528125,63.1347962382445,32.19090909090909,1.0
23.5627,120.4788,-3.4071651090342683,1.0,0.09530499999999996,5.572131661442007,64.0,32.24,1.0
23.5627,120.4788,-3.454482758620689,1.0,0.09665499999999999,5.791869158878504,48.97178683385581,32.21037617554859,1.0
23.5627,120.4788,-3.4077570093457945,1.0,0.098005,5.861222570532916,42.9221183800623,32.17411214953271,1.0
23.5627,120.4788,-3.2869905956112846,1.0,0.09935499999999996,5.3901249999999985,63.36677115987461,32.24,1.0
23.5627,120.4788,-3.4895327102803737,1.0,0.10070499999999999,4.72059375,62.0,32.24,1.0
23.5627,120.4788,-5.716802507836992,1.0,0.10205499999999999,4.858380062305296,56.072100313479616,32.24,1.0
23.5627,120.4788,-6.3468965517241385,1.0,0.11964000000000001,5.192875,33.87850467289719,32.241869158878515,1.0
23.5627,120.4788,-7.351339563862928,1.0,0.11844,7.4629906542056075,53.0,32.33532710280374,1.0
23.5627,120.4788,-9.367084639498431,1.0,0.11724000000000001,10.889435736677118,52.85669781931464,32.25065830721004,1.0
23.5627,120.4788,-10.35056074766355,1.0,0.11604,10.96059375,31.361370716510905,32.24,1.0
23.5627,120.4788,-9.829561128526645,1.0,0.10800000000000001,8.599,64.35423197492163,32.24,1.0
23.5627,120.4788,-9.081214953271028,1.0,0.10800000000000001,6.9385,68.18380062305296,32.31040498442368,1.0
