lati,long,Gyro,Gear,Rate,Pressure,Heartbeat,Temp,map_inf
23.56273,120.47863999999998,-3.336893265565439,1.0,0.1346415,0.21119146413752224,57.82453909726637,31.67,1
23.56273,120.47865939,-3.426473951715375,1.0,0.15932900000000005,0.23430942501481924,53.43801652892562,31.67,1
23.56273,120.47865639,-3.5160546378653112,1.0,0.15602900000000006,0.2574273858921162,49.05149396058487,31.67,1
23.56273,120.47865339,-3.605635324015248,1.0,0.15272900000000006,0.2805453467694132,44.66497139224412,31.67,1
23.56273,120.47865039,-3.6952160101651854,1.0,0.14942900000000006,0.3036633076467101,40.27844882390337,31.67,1
23.56273,120.478621305,-3.733821656050956,1.0,0.130478,0.3424203821656051,35.891926255562616,31.60436305732484,1
23.56273,120.478622805,-4.165333333333335,1.0,0.129878,0.28089171974522303,31.955414012738853,31.641624203821653,1
23.56273,120.47862430499998,-4.142547770700636,1.0,0.129278,0.20928792569659446,46.76433121019107,31.612571428571428,1
23.56273,120.478625805,-4.065197568389058,1.0,0.128678,0.2511598746081504,74.36708860759494,31.58,1
23.56273,120.478627305,-4.4001597444089455,1.0,0.128078,0.3714285714285714,63.466257668711656,31.58,1
23.56273,120.478628805,-4.627539432176656,1.0,0.127478,2.2224761904761903,61.300632911392405,31.58,1
23.56273,120.47865939,-4.415079872204473,1.0,0.13075599999999998,3.4700952380952383,72.0,31.58,1
23.56273,120.47865639,-4.157904761904762,1.0,0.129556,4.352,54.735668789808905,31.58,1
23.56273,120.47865339,-4.108544303797468,1.0,0.128356,4.934267515923569,39.7246835443038,31.58,1
23.56273,120.47865039,-4.21,1.0,0.127156,5.018222222222222,62.149681528662406,31.58,1
23.56273,120.478621305,-4.000095238095239,1.0,0.12160849999999998,5.06647619047619,76.28164556962025,31.55809523809524,1
23.56273,120.478622805,-3.1075159235668792,1.0,0.1211585,5.199398734177217,56.0,31.497197452229294,1
23.56273,120.47862430499998,-3.5192356687898085,1.0,0.12070849999999995,5.196815286624204,51.23885350318471,31.58,1
23.56273,120.478625805,-3.9244303797468354,1.0,0.1202585,5.847619047619048,33.0,31.58,1
23.56273,120.478627305,-4.019367088607594,1.0,0.1198085,6.595873015873016,33.0,31.57651898734177,1
23.56273,120.478628805,-4.390127388535031,1.0,0.1193585,6.048853503184715,32.197452229299365,31.48158227848101,1
23.56273,120.47863999999998,-5.852539682539684,1.0,0.12181700000000001,5.814825396825397,21.70886075949367,31.48,1
23.56273,120.47863999999998,-5.7886708860759475,1.0,0.12091700000000001,5.564222222222222,52.08860759493671,31.48,1
23.56273,120.47863999999998,-5.319022082018928,1.0,0.12001700000000001,5.3954545454545455,58.56050955414013,31.48,1
23.56273,120.47863999999998,-5.374303797468354,1.0,0.119117,5.044603174603173,65.94670846394985,31.48,1
23.56273,120.47863999999998,-5.303885350318472,1.0,0.12343399999999999,5.0674285714285725,76.03821656050955,31.62053968253968,1
23.56273,120.47863999999998,-5.092044728434503,1.0,0.12163399999999999,5.528535031847133,78.0,31.607316293929713,1
23.56273,120.47863999999998,-4.967246835443037,1.0,0.119834,6.228126984126984,41.607594936708864,31.58,1
23.56273,120.47863999999998,-4.973714285714286,1.0,0.11803399999999999,6.007197452229298,66.84713375796179,31.52,1
23.56273,120.47863999999998,-4.9490566037735855,1.0,0.11623399999999999,5.807232704402512,85.0,31.534889589905358,1
23.56273,120.47863999999998,-4.840191693290736,1.0,0.114434,5.854076433121018,85.0,31.58,1
23.56273,120.47863999999998,-4.9238730158730135,1.0,0.106817,5.9287898089171955,50.75796178343949,31.53460317460317,1
23.56273,120.47863999999998,-5.058984126984127,1.0,0.10591700000000001,5.747261146496817,21.0,31.48,1
23.56273,120.47863999999998,-4.887936507936508,1.0,0.10501700000000001,5.549047619047619,24.955414012738853,31.51607594936709,1
23.56273,120.47863999999998,-4.8090445859872615,1.0,0.104117,5.6853333333333325,45.79617834394905,31.5487898089172,1
23.56273,120.47863999999998,-4.759686520376175,1.0,0.09626100000000004,5.790382165605094,67.5632911392405,31.50633228840125,1
23.56273,120.47863999999998,-4.744533762057878,1.0,0.09656100000000001,5.8023510971786845,60.90445859872612,31.559099678456587,1
23.56273,120.47863999999998,-5.013987341772153,1.0,0.096861,5.8,60.050632911392405,31.497142857142855,1
23.56273,120.47863999999998,-5.112866242038216,1.0,0.097161,5.7796190476190485,67.51592356687898,31.58,1
23.56273,120.47863999999998,-5.8617252396166135,1.0,0.097461,4.9949681528662415,50.0,31.58,1
23.56273,120.47863999999998,-4.4048562300319505,1.0,0.097761,5.347452229299363,48.40506329113924,31.58,1
