lati,long,Gyro,Gear,Rate,Pressure,Heartbeat,Temp,Time
2.356266000000000105e+01,1.204786799999999971e+02,-1.225605095541401290e+00,1.000000000000000000e+00,8.999999999999999667e-02,5.898471337579618279e+00,5.667515923566878655e+01,3.185999999999999943e+01,3.968948700000000000e+07
2.356266000000000105e+01,1.204786799999999971e+02,-2.065495207667732425e-01,1.000000000000000000e+00,8.999999999999999667e-02,4.037106918238993813e+00,7.380952380952381020e+01,3.193452229299363054e+01,3.968978700000000000e+07
2.356266000000000105e+01,1.204786799999999971e+02,8.662857142857142145e-01,1.000000000000000000e+00,8.999999999999999667e-02,4.202090032154340626e+00,7.800000000000000000e+01,3.188971246006389748e+01,3.969008700000000000e+07
2.356266000000000105e+01,1.204786799999999971e+02,3.422420382165604735e+00,1.000000000000000000e+00,8.999999999999999667e-02,5.484355400696864002e+00,7.800000000000000000e+01,3.180085714285714360e+01,3.969038700000000000e+07
2.356266000000000105e+01,1.204786799999999971e+02,3.641388012618296699e+00,1.000000000000000000e+00,8.999999999999999667e-02,1.255857142857142783e+01,3.885759493670886400e+01,3.176999999999999957e+01,3.969068700000000000e+07
2.356266000000000105e+01,1.204786799999999971e+02,-1.494681618040663018e-01,1.000000000000000000e+00,8.999999999999999667e-02,7.780972331379825135e-01,1.183550383446451804e+00,3.564401674598214242e+01,4.000538700000000000e+07
2.355605999999999867e+01,1.204797200000000004e+02,-1.522715444286637521e-01,1.000000000000000000e+00,4.884775000000000089e-01,7.640989287769741622e-01,1.164653638410783287e+00,3.564771125867158474e+01,4.000568700000000000e+07
2.355605999999999867e+01,1.204797200000000004e+02,-1.550749270532612023e-01,1.000000000000000000e+00,4.832274999999999765e-01,7.501006244159622582e-01,1.145756893375114771e+00,3.565140577136102706e+01,4.000598700000000000e+07
2.355605999999999867e+01,1.204797200000000004e+02,-1.578783096778586525e-01,1.000000000000000000e+00,5.233719999999999484e-01,7.361023200549539069e-01,1.126860148339449808e+00,3.565510028405047649e+01,4.000628700000000000e+07
2.355605999999999867e+01,1.204797200000000004e+02,-1.606816923024561028e-01,1.000000000000000000e+00,5.101719999999999589e-01,7.221040156939420029e-01,1.107963403303781291e+00,3.565879479673991881e+01,4.000658700000000000e+07
